Epoch,super-field-17 - accuracy_test,super-field-17 - accuracy_test__MIN,super-field-17 - accuracy_test__MAX
0,0.599118018,0.599118018,0.599118018
1,0.610247795,0.610247795,0.610247795
2,0.591138177,0.591138177,0.591138177
3,0.624737505,0.624737505,0.624737505
4,0.611717766,0.611717766,0.611717766
5,0.662746745,0.662746745,0.662746745
6,0.647837043,0.647837043,0.647837043
7,0.686056279,0.686056279,0.686056279
8,0.694666107,0.694666107,0.694666107
9,0.716715666,0.716715666,0.716715666
10,0.730785384,0.730785384,0.730785384
11,0.719655607,0.719655607,0.719655607
12,0.725115498,0.725115498,0.725115498
13,0.735825283,0.735825283,0.735825283
14,0.725745485,0.725745485,0.725745485
