Step,celestial-flower-20 - accuracy_test,celestial-flower-20 - accuracy_test__MIN,celestial-flower-20 - accuracy_test__MAX,
1,0.329063419,0.329063419,0.329063419,*
37,0.402561949,0.402561949,0.402561949,*
73,0.513859723,0.513859723,0.513859723,*
109,0.549769005,0.549769005,0.549769005,*
145,0.602897942,0.602897942,0.602897942,*
217,0.631457371,0.631457371,0.631457371,*
253,0.637337253,0.637337253,0.637337253,*
289,0.644687106,0.644687106,0.644687106,*
325,0.674926501,0.674926501,0.674926501,*
361,0.671776564,0.671776564,0.671776564,*
433,0.673036539,0.673036539,0.673036539,*
469,0.676396472,0.676396472,0.676396472,*
505,0.676186476,0.676186476,0.676186476,*
541,0.677446451,0.677446451,0.677446451,*
613,0.675136497,0.675136497,0.675136497,*
